Nome;Città;Indirizzo;Tipo;Attivo dal;...fino al;Organizzazioni;Slug;Eventi;Stato record
;Pisa;;;;;;;;
Auditorium FLOG;Firenze;Via M. Mercati, 24b;;;;;;;
Banana Moon;Firenze;;;;;;;;
Casa del Popolo;Grassina, Firenze;Piazza della Repubblica;;;;;;;
Casablanca;Firenze;;;;;;;;
Chiostro Oblate;Firenze;;;;;;;;
Contempo Records;Firenze;Via Verdi, 47r;;;;;;;
Dildo;Firenze;;;;;;;;
Discoteca Stryx;Porto S. Stefano, Firenze;;;;;;;;
Discoteca Y;Certaldo, Firenze;;;;;;;;
Eresie;Firenze;;;;;;;;
Festival Nazionale dell'Unità;Campi Bisenzio, Firenze;;;;;;;;
G.I.A.C.H.I.;S. Giovanni Valdarno, Arezzo;;;;;;;;
Gasoline;Firenze;;;;;;;;
Limonaia;Sesto Fiorentino, Firenze;;;;;;;;
Loggiato degli Uffizi;Firenze;;;;;;;;
Luisa;Firenze;Via Roma;;;;;;;
Manila;Campi Bisenzio, Firenze;;;;;;;;
Monna Lisa;Firenze;;;;;;;;
Motovelodromo;Firenze;;;;;;;;
Museo Pecci;Prato;;;;;;;;
Palasport;Firenze;;;;;;;;
Palasport;Scandicci, Firenze;;;;;;;;
Palazzo dei Congressi;Firenze;;;;;;;;
Palazzo Gaddi;Firenze;;;;;;;;
Paramatta;Firenze;;;;;;;;
Parco delle Cascine;Firenze;;;;;;;;
Parco S. Salvi;Firenze;;;;;;;;
Piazza dei Priori;Volterra;;;;;;;;
Piazza Della Signoria;Firenze;;;;;;;;
Piazza Duomo;Pistoia;;;;;;;;
Piazza S. Spirito;Firenze;;;;;;;;
Piazzale Poggi;Firenze;;;;;;;;
Porta Romana, Firenze;;;;;;;;;
Rokkoteca Brighton;Firenze;;;;;;;;
Salt Peanuts;Firenze;;;;;;;;
Samantha;Dicomano, Firenze;;;;;;;;
Space Electronic;Firenze;;;;;;;;
Spazio Uno;Firenze;;;;;;;;
Stadio Comunale;Firenze;;;;;;;;
Stadio Comunale;Livorno;;;;;;;;
Stadio Comunale;Prato;;;;;;;;
Teatro;Calenzano, Firenze;;;;;;;;
Teatro Affratellamento;Firenze;;;;;;;;
Teatro Andromeda;Firenze;Via Aretina, 62r;;;;;;;
Teatro Apollo - Firenze;;;;;;;;;
Teatro Aurora;;Scandicci, Firenze;;;;;;;
Teatro Bucci;S. Giovanni Valdarno, Arezzo;;;;;;;;
Teatro Comunale;Firenze;;;;;;;;
Teatro della Pergola;Firenze;;;;;;;;
Teatro di Rifredi;Firenze;;;;;;;;
Teatro Fabbricone;Prato;;;;;;;;
Teatro Masaccio;S. Giovanni Valdarno, Arezzo;;;;;;;;
Teatro Metastasio;Prato;;;;;;;;
Teatro Niccolini;Firenze;;;;;;;;
Teatro Tenda;Firenze;Lungarno Aldo Moro;;;;;;;
Teatro Tenda;Pisa;;;;;;;;
Teatro Variety;Firenze;;;;;;;;
Tenax;Firenze;Via Pratese;;;;;;;
